state,zip_code,type,count,retailer
AZ,85382,Moderna,1136,walgreens
AZ,85382,Pfizer-BioNtech,732,walgreens
AZ,85201,Pfizer-BioNtech,1271,walgreens
AZ,85210,Pfizer-BioNtech,863,walgreens
AZ,85204,Moderna,949,walgreens
AZ,85213,Pfizer-BioNtech,597,walgreens
AZ,85282,Pfizer-BioNtech,1038,walgreens
AZ,85282,Moderna,348,walgreens
AZ,85205,Pfizer-BioNtech,1354,walgreens
AZ,85234,Moderna,393,walgreens
AZ,85234,Pfizer-BioNtech,1258,walgreens
AZ,85206,Pfizer-BioNtech,629,walgreens
AZ,85233,Moderna,1155,walgreens
AZ,85208,Moderna,735,walgreens
AZ,85208,Pfizer-BioNtech,446,walgreens
AZ,85215,Pfizer-BioNtech,455,walgreens
,85209,Pfizer-BioNtech,932,walgreens
AZ,85207,Pfizer-BioNtech,375,walgreens
,85120,Moderna,553,walgreens
,85120,Pfizer-BioNtech,546,walgreens
AZ,85212,Pfizer-BioNtech,480,walgreens
,85286,Pfizer-BioNtech,363,walgreens
AZ,85225,Moderna,577,walgreens
,85295,Pfizer-BioNtech,1555,walgreens
AZ,85296,Pfizer-BioNtech,349,walgreens
AZ,85249,Pfizer-BioNtech,690,walgreens
AZ,85249,Moderna,384,walgreens
AZ,85248,Pfizer-BioNtech,734,walgreens
,85298,Moderna,573,walgreens
,85297,Pfizer-BioNtech,513,walgreens
,85297,Moderna,1013,walgreens
AZ,85250,Pfizer-BioNtech,742,walgreens
AZ,85258,Moderna,905,walgreens
AZ,85255,Pfizer-BioNtech,475,walgreens
AZ,85255,Moderna,451,walgreens
AZ,85260,Pfizer-BioNtech,827,walgreens
AZ,85262,Moderna,619,walgreens
AZ,85259,Moderna,810,walgreens
AZ,85381,Moderna,405,walgreens
AZ,85323,Pfizer-BioNtech,420,walgreens
AZ,85338,Pfizer-BioNtech,560,walgreens
AZ,85338,Moderna,598,walgreens
,85395,Pfizer-BioNtech,1310,walgreens
AZ,85326,Pfizer-BioNtech,1320,walgreens
AZ,85335,Pfizer-BioNtech,415,walgreens
AZ,85379,Pfizer-BioNtech,778,walgreens
AZ,85379,Moderna,566,walgreens
AZ,85351,Moderna,1353,walgreens
AZ,85375,Moderna,851,walgreens
AZ,85374,Pfizer-BioNtech,1357,walgreens
AZ,85374,Moderna,1000,walgreens
AZ,85345,Moderna,537,walgreens
AZ,85364,Moderna,330,walgreens
AZ,85364,Pfizer-BioNtech,1475,walgreens
AZ,85635,Moderna,728,walgreens
AZ,85704,Pfizer-BioNtech,554,walgreens
AZ,85704,Moderna,452,walgreens
AZ,85741,Moderna,795,walgreens
AZ,85741,Pfizer-BioNtech,407,walgreens
AZ,85718,Moderna,1098,walgreens
AZ,85705,Moderna,290,walgreens
AZ,85742,Moderna,777,walgreens
AZ,85737,Moderna,779,walgreens
AZ,85719,Moderna,975,walgreens
AZ,85745,Pfizer-BioNtech,456,walgreens
AZ,85716,Pfizer-BioNtech,675,walgreens
AZ,85713,Pfizer-BioNtech,1164,walgreens
AZ,85712,Moderna,1069,walgreens
AZ,85712,Pfizer-BioNtech,336,walgreens
AZ,85711,Pfizer-BioNtech,820,walgreens
AZ,85711,Moderna,491,walgreens
AZ,85714,Pfizer-BioNtech,882,walgreens
AZ,85706,Pfizer-BioNtech,334,walgreens
AZ,85746,Moderna,829,walgreens
AZ,85746,Pfizer-BioNtech,827,walgreens
AZ,85730,Moderna,993,walgreens
AZ,85730,Pfizer-BioNtech,417,walgreens
AZ,85710,Moderna,314,walgreens
AZ,85710,Pfizer-BioNtech,1895,walgreens
AZ,85715,Pfizer-BioNtech,597,walgreens
AZ,85748,Pfizer-BioNtech,359,walgreens
AZ,85749,Pfizer-BioNtech,897,walgreens
AZ,85750,Pfizer-BioNtech,544,walgreens
AZ,85747,Pfizer-BioNtech,772,walgreens
AZ,85743,Moderna,617,walgreens
AZ,86001,Moderna,816,walgreens
AZ,86004,Pfizer-BioNtech,948,walgreens
AZ,86336,Pfizer-BioNtech,223,walgreens
AZ,86314,Moderna,805,walgreens
AZ,86301,Pfizer-BioNtech,451,walgreens
AZ,86301,Moderna,738,walgreens
AZ,86323,Pfizer-BioNtech,331,walgreens
AZ,86326,Moderna,350,walgreens
AR,71603,Moderna,476,walgreens
AR,71913,Pfizer-BioNtech,351,walgreens
AR,71913,Moderna,1159,walgreens
AR,71901,Moderna,363,walgreens
AR,71909,Moderna,319,walgreens
AR,72104,Moderna,452,walgreens
AR,71923,Moderna,362,walgreens
AR,72023,Moderna,422,walgreens
AR,72076,Moderna,349,walgreens
AR,72120,Pfizer-BioNtech,273,walgreens
AR,72116,Moderna,436,walgreens
AR,72116,Pfizer-BioNtech,508,walgreens
AR,72205,Moderna,417,walgreens
AR,72205,Pfizer-BioNtech,592,walgreens
AR,72113,Pfizer-BioNtech,331,walgreens
AR,72227,Moderna,653,walgreens
AR,72032,Pfizer-BioNtech,431,walgreens
,72034,Pfizer-BioNtech,414,walgreens
AR,72223,Pfizer-BioNtech,356,walgreens
AR,72204,Pfizer-BioNtech,398,walgreens
AR,72211,Pfizer-BioNtech,374,walgreens
AR,72022,Pfizer-BioNtech,282,walgreens
AR,72401,Pfizer-BioNtech,436,walgreens
AR,72401,Moderna,1364,walgreens
AR,72450,Moderna,744,walgreens
AR,72701,Moderna,342,walgreens
AR,72703,Moderna,1122,walgreens
AR,72704,Moderna,362,walgreens
AR,72704,Pfizer-BioNtech,862,walgreens
AR,72764,Moderna,780,walgreens
AR,72762,Pfizer-BioNtech,760,walgreens
AR,72758,Pfizer-BioNtech,833,walgreens
AR,72758,Moderna,310,walgreens
AR,72712,Pfizer-BioNtech,807,walgreens
AR,72714,Moderna,388,walgreens
AR,72756,Pfizer-BioNtech,420,walgreens
AR,72956,Pfizer-BioNtech,430,walgreens
AR,72921,Pfizer-BioNtech,361,walgreens
AR,72901,Pfizer-BioNtech,800,walgreens
AR,72903,Pfizer-BioNtech,437,walgreens
CA,90001,Pfizer-BioNtech,475,walgreens
CA,90255,Pfizer-BioNtech,454,walgreens
CA,90280,Pfizer-BioNtech,461,walgreens
CA,90047,Moderna,415,walgreens
CA,90262,Pfizer-BioNtech,453,walgreens
CA,90017,Pfizer-BioNtech,403,walgreens
CA,90303,Pfizer-BioNtech,443,walgreens
CA,90033,Pfizer-BioNtech,721,walgreens
CA,90016,Pfizer-BioNtech,585,walgreens
CA,90301,Pfizer-BioNtech,423,walgreens
CA,90247,Pfizer-BioNtech,425,walgreens
CA,90242,Pfizer-BioNtech,273,walgreens
CA,90250,Pfizer-BioNtech,888,walgreens
CA,90020,Pfizer-BioNtech,744,walgreens
CA,90027,Pfizer-BioNtech,396,walgreens
CA,90038,Moderna,504,walgreens
CA,90026,Pfizer-BioNtech,379,walgreens
CA,90036,Pfizer-BioNtech,362,walgreens
CA,90035,Pfizer-BioNtech,619,walgreens
CA,91754,Pfizer-BioNtech,405,walgreens
CA,90041,Pfizer-BioNtech,368,walgreens
CA,91801,Pfizer-BioNtech,485,walgreens
CA,90640,Pfizer-BioNtech,447,walgreens
CA,90660,Pfizer-BioNtech,437,walgreens
CA,90601,Pfizer-BioNtech,355,walgreens
CA,90025,Pfizer-BioNtech,542,walgreens
CA,90064,Pfizer-BioNtech,2217,walgreens
CA,90403,Pfizer-BioNtech,285,walgreens
CA,90405,Pfizer-BioNtech,243,walgreens
CA,90292,Pfizer-BioNtech,339,walgreens
CA,91207,Pfizer-BioNtech,778,walgreens
CA,91206,Pfizer-BioNtech,225,walgreens
CA,91502,Pfizer-BioNtech,336,walgreens
CA,91101,Pfizer-BioNtech,530,walgreens
CA,91604,Pfizer-BioNtech,313,walgreens
CA,90245,Pfizer-BioNtech,313,walgreens
CA,90266,Pfizer-BioNtech,607,walgreens
CA,91436,Moderna,614,walgreens
CA,91403,Pfizer-BioNtech,220,walgreens
CA,90241,Pfizer-BioNtech,455,walgreens
CA,90706,Pfizer-BioNtech,825,walgreens
CA,90807,Pfizer-BioNtech,399,walgreens
CA,90712,Pfizer-BioNtech,574,walgreens
CA,90806,Moderna,541,walgreens
CA,90501,Pfizer-BioNtech,448,walgreens
CA,90650,Pfizer-BioNtech,452,walgreens
CA,90701,Pfizer-BioNtech,414,walgreens
CA,90278,Pfizer-BioNtech,251,walgreens
CA,90505,Pfizer-BioNtech,818,walgreens
CA,90277,Moderna,351,walgreens
